contract_pk,globex,product_code,month_ltr,yr,ltd,fnd,settle_type,exch,multiplier,tick,status,last_updated
cme-es-h-2026,ESH26,ES,H,2026,03/20/2026,,financial,CME,50,0.25,inactive,2026-08-14T21:15:00
cme-es-m-2026,ESM26,ES,M,2026,2026-06-19,,financial,CME,50,0.25,false,2026-08-14T21:15:00
cme-es-u-2026,ESU26,ES,U,2026,09/18/26,,financial,CME,50,0.25,True,2026-08-14T21:15:00
cme-es-z-2026,ESZ26,ES,Z,2026,2026-12-18,,financial,CME,50,0.25,Y,2026-08-14T21:15:00
cme-es-h-2027,ESH27,ES,H,2027,2027-03-19,,financial,CME,50,0.25,active,2026-08-14T21:15:00
cme-es-m-2027,ESM27,ES,M,2027,2027-06-18,,financial,CME,50,0.25,true,2026-08-14T21:15:00
cme-nq-h-2026,NQH26,nq,H,2026,2026-03-20,,financial,cme,20,0.25,N,2026-08-14T21:15:00
cme-nq-m-2026,NQM26,NQ,M,2026,2026-06-19,,financial,cme,20,0.25,0,2026-08-14T21:15:00
cme-nq-u-2026,NQU26,NQ,U,2026,09/18/2026,,financial,cme,20,0.25,Y,2026-08-14T21:15:00
cme-nq-z-2026,NQZ26,NQ,Z,2026,2026-12-18,,financial,cme,20,0.25,1,2026-08-14T21:15:00
cme-nq-h-2027,NQH27,NQ,H,2027,2027-03-19,,financial,cme,20,0.25,True,2026-08-14T21:15:00
cme-nq-m-2027,NQM27,NQ,M,2027,2027-06-18,,financial,cme,20,0.25,True,2026-08-14T21:15:00
nymex-cl-h-2026,CLH26,cl,H,2026,03/20/2026,2026-03-13,physical,NYMEX,1000,0.01,0,2026-08-14T21:15:00
nymex-cl-j-2026,CLJ26,CL,J,2026,04/17/2026,2026-04-10,physical,NYMEX,1000,0.01,false,2026-08-14T21:15:00
nymex-cl-k-2026,CLK26,CL,K,2026,2026-05-15,2026-05-08,physical,NYMEX,1000,0.01,inactive,2026-08-14T21:15:00
nymex-cl-m-2026,CLM26,CL,M,2026,06/19/26,2026-06-12,physical,NYMEX,1000,0.01,inactive,2026-08-14T21:15:00
nymex-cl-n-2026,CLN26,cl,N,2026,20260717,2026-07-10,physical,NYMEX,1000,0.01,1,2026-08-14T21:15:00
nymex-cl-q-2026,CLQ26,CL,Q,2026,2026-08-21,2026-08-14,physical,NYMEX,1000,0.01,True,2026-08-14T21:15:00
nymex-cl-u-2026,CLU26,CL,U,26,09/18/2026,2026-09-11,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-v-2026,CLV26,CL,V,2026,2026-10-16,2026-10-09,physical,NYMEX,1000,0.01,true,2026-08-14T21:15:00
nymex-cl-x-2026,CLX26,CL,X,2026,2026-11-20,2026-11-13,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-z-2026,CLZ26,CL,Z,2026,12/18/2026,2026-12-11,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-f-2027,CLF27,CL,F,2027,2027-01-15,2027-01-08,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-g-2027,CLG27,CL,G,2027,2027-02-19,2027-02-12,physical,NYMEX,1000,0.01,True,2026-08-14T21:15:00
nymex-cl-h-2027,CLH27,CL,H,2027,2027-03-19,2027-03-12,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-j-2027,CLJ27,cl,J,2027,2027-04-16,2027-04-09,physical,NYMEX,1000,0.01,active,2026-08-14T21:15:00
nymex-cl-k-2027,CLK27,cl,K,2027,2027-05-21,2027-05-14,physical,NYMEX,1000,0.01,True,2026-08-14T21:15:00
nymex-cl-m-2027,CLM27,CL,M,2027,06/18/27,2027-06-11,physical,NYMEX,1000,0.01,true,2026-08-14T21:15:00
comex-gc-j-2026,GCJ26,GC,J,2026,2026-04-17,2026-04-10,physical,COMEX,100,0.1,inactive,2026-08-14T21:15:00
comex-gc-m-2026,GCM26,GC,M,2026,2026-06-19,2026-06-12,physical,COMEX,100,0.1,false,2026-08-14T21:15:00
comex-gc-q-2026,GCQ26,gc,Q,26,2026-08-21,2026-08-14,physical,COMEX,100,0.1,True,2026-08-14T21:15:00
comex-gc-z-2026,GCZ26,GC,Z,2026,2026-12-18,2026-12-11,physical,COMEX,100,0.1,active,2026-08-14T21:15:00
comex-gc-g-2027,GCG27,GC,G,2027,2027-02-19,2027-02-12,physical,COMEX,100,0.1,Y,2026-08-14T21:15:00
comex-gc-j-2027,GCJ27,GC,J,2027,04/16/2027,2027-04-09,physical,COMEX,100,0.1,Y,2026-08-14T21:15:00
comex-gc-m-2027,GCM27,GC,M,2027,2027-06-18,2027-06-11,physical,COMEX,100,0.1,active,2026-08-14T21:15:00
cbot-zb-h-2026,ZBH26,ZB,H,2026,2026-03-20,2026-03-13,financial,CBOT,1000,0.03125,N,2026-08-14T21:15:00
cbot-zb-m-2026,ZBM26,ZB,M,2026,2026-06-19,2026-06-12,financial,CBOT,1000,0.03125,N,2026-08-14T21:15:00
cbot-zb-u-2026,ZBU26,ZB,U,2026,2026-09-18,2026-09-11,financial,CBOT,1000,0.03125,1,2026-08-14T21:15:00
cbot-zb-z-2026,ZBZ26,ZB,Z,2026,2026-12-18,2026-12-11,financial,CBOT,1000,0.03125,Y,2026-08-14T21:15:00
cbot-zb-h-2027,ZBH27,ZB,H,2027,2027-03-19,2027-03-12,financial,CBOT,1000,0.03125,1,2026-08-14T21:15:00
cbot-zb-m-2027,ZBM27,ZB,M,2027,06/18/2027,2027-06-11,financial,CBOT,1000,0.03125,1,2026-08-14T21:15:00
