trade_dt,globex_sym,px_open,px_high,px_low,px_settle,vol,oi,settle_flag,file_name,load_ts
04/01/26,ESM26,5859.5,5899.5,5807.5,5848.5,1309830,2154498,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ESU26,5863,5884.75,5837,5859,760291,673847,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
20260401,ESZ26,"5,879.75",5879.75,5813.75,5869.5,604440,465765,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ESH27,5879.5,5923.75,5850.5,5880,397338,174044,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ESM27,5918.25,5918.25,5840.75,5890.5,218120,76899,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,NQM26,21130.75,21292.75,21105.75,21143.75,678029,876346,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,NQU26,21108.5,21423.5,21078.5,21181.75,431645,371471,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,NQ Z26,21281.25,21442.75,21029.5,21219.75,239035,206791,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,nqh27,21232,21357,21181.25,21258,144919,74015,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,NQM27,21398.5,21472.75,21232.75,21296,101883,34742,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,CLJ26,80.26,80.96,79.14,80.03,357477,629035,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,CL K26,79.77,79.78,78.77,79.67,277938,342549,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,CLM26,79.26,79.44,78.67,79.31,130877,88310,final,cme_settle_20260401.csv,2026-08-17T06:40:00
20260401,CL N26,78.56,79.25,78.22,78.95,85160,43020,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,CLQ26,78.28,79.53,78.28,78.59,59641,"19,496",Final,cme_settle_20260401.csv,2026-08-17T06:40:00
20260401,CLU26,78.55,78.95,78.01,78.23,43965,13207,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,CLV26,77.82,78.5,77.2,77.87,24363,5108,final,cme_settle_20260401.csv,2026-08-17T06:40:00
20260401,CLX26,77.5,77.81,77.28,77.51,16587,2365,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,CLZ26,77.07,77.7,76.3,77.15,8621,865,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,clf27,76.58,77.34,76.58,76.79,4601,328,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,CLG27,76.77,76.83,75.82,76.43,3112,134,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,CLH27,75.77,76.94,75.77,76.07,2034,58,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,CLJ27,75.58,76.59,74.84,75.71,1185,26,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
20260401,CLK27,75.38,76.24,75.26,75.35,848,11,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,CLM27,75.2,75.68,74.48,74.99,552,5,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,GCJ26,2633.5,2671.2,2624.6,2643.9,149618,276645,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,gcm26,2638.1,2664.6,2634.6,2648.7,131472,140014,final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,GCQ26,2646.9,2665.2,2630.7,2653.4,66669,54252,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
