as_of,und,exp_dt,strike_px,put_call,bid_px,ask_px,last_px,trd_vol,oi,imp_vol,delta,opt_root,exch,snap_id,rec_hash
20260720,ES,2026-08-21,5400,C,565.25,573.25,569.25,1189,3670,0.1203,0.699,ES,CME,snap-20260720-es,ES-20260821-5400-C-20260720
20260720,ES,2026-08-21,5400,C,565.25,573.25,569.25,1189,3670,0.1203,0.699,ES,CME,snap-20260720-es-retry,ES-20260821-5400-C-20260720
2026-07-20,ES,2026-08-21,5400,P ,76.75,77.75,77.25,676,3199,0.1264,-0.301,ES,CME,snap-20260720-es,ES-20260821-5400-P-20260720
20260720,ES,2026-08-21,5450,C,515,522.25,518.5,1073,3415,0.1193,0.712,ES,CME,snap-20260720-es,ES-20260821-5450-C-20260720
2026-07-20,ES,20260821,5450,P,75.75,76.75,76.25,"1,487",4639,0.1248,-0.288,ES,CME,snap-20260720-es,ES-20260821-5450-P-20260720
2026-07-20,ES,2026-08-21,5500,C,465,471.25,468,5519,24361,0.1184,0.726,ES,CME,snap-20260720-es,ES-20260821-5500-C-20260720
2026-07-20,ES,20260821,5500,P,74.75,75.75,75.25,7280,36733,0.12,-0.274,ES,CME,snap-20260720-es,ES-20260821-5500-P-20260720
2026-07-20,ES,2026-08-21,5550,C,414.75,420.25,417.5,5576,22832,0.1174,0.743,ES,CME,snap-20260720-es,ES-20260821-5550-C-20260720
07/20/26,ES,08/21/26,5550,put,73.75,74.75,74.25,7313,40285,0.1216,-0.257,ES,CME,snap-20260720-es,ES-20260821-5550-P-20260720
07/20/2026,ES,20260821,5600,C,364.5,369.25,367,7076,33800,0.1164,0.763,ES,CME,snap-20260720-es,ES-20260821-5600-C-20260720
2026-07-20,ES,08/21/2026,5600,P,72.75,73.75,73.25,11400,50826,0.12,-0.237,ES,CME,snap-20260720-es,ES-20260821-5600-P-20260720
07/20/2026,ES,2026-08-21,5650,Call,314.25,318.25,316.25,10206,36098,0.1154,0.786,ES,CME,snap-20260720-es,ES-20260821-5650-C-20260720
20260720,ES,2026-08-21,5650,P,71.75,72.75,72.25,"12,698",47854,0.1184,-0.214,ES,CME,snap-20260720-es,ES-20260821-5650-P-20260720
2026-07-20,ES,08/21/26,5700,C,264,267.25,265.5,7750,27087,0.1144,0.813,ES,CME,snap-20260720-es,ES-20260821-5700-C-20260720
07/20/2026,ES,2026-08-21,"5,700.00",P,71,71.75,71.5,"13,821",66771,0.1168,-0.187,ES,CME,snap-20260720-es,ES-20260821-5700-P-20260720
07/20/2026,ES,08/21/2026,5750,C,213.75,216.25,215,17478,67208,0.1134,0.846,ES,CME,snap-20260720-es,ES-20260821-5750-C-20260720
20260720,ES,2026-08-21,5750,put,70,70.75,70.5,20273,71063,0.1152,-0.154,ES,CME,snap-20260720-es,ES-20260821-5750-P-20260720
2026-07-20,ES,2026-08-21,5800,C,163.5,165.25,164.5,15500,50952,0.11,0.887,ES,CME,snap-20260720-es,ES-20260821-5800-C-20260720
2026-07-20,ES,08/21/2026,5800,P,69,69.75,69.5,13289,63649,0.1136,-0.113,ES,CME,snap-20260720-es,ES-20260821-5800-P-20260720
20260720,ES,2026-08-21,5850,C,113.25,114.5,114,16686,74515,0.1114,0.939,ES,CME,snap-20260720-es,ES-20260821-5850-C-20260720
2026-07-20,es,20260821,5850,P,68,68.75,68.5,15547,58901,0.112,-0.061,ES,CME,snap-20260720-es,ES-20260821-5850-P-20260720
2026-07-20,ES,20260821,5900,C,67.25,68,67.5,"19,529",45383,0.1106,0.994,ES,CME,snap-20260720-es,ES-20260821-5900-C-20260720
2026-07-20,ES,08/21/2026,5900,P,71.5,72.25,72,30612,102776,0.1106,-0.006,ES,CME,snap-20260720-es,ES-20260821-5900-P-20260720
2026-07-20,ES,2026-08-21,5950,C,68,68.75,68.5,21102,78234,0.1118,0.929,ES,CME,snap-20260720-es,ES-20260821-5950-C-20260720
2026-07-20,ES,2026-08-21,5950,put,121.75,123.00,122.5,16304,86513,0.1116,-0.071,ES,CME,snap-20260720-es,ES-20260821-5950-P-20260720
07/20/2026,ES,20260821,6000,Call,68.75,69.5,69,21352,47000,0.113,0.879,ES,CME,snap-20260720-es,ES-20260821-6000-C-20260720
2026-07-20,es,2026-08-21,6000,P,172.00,174,173,25189,84209,0.11,-0.121,ES,CME,snap-20260720-es,ES-20260821-6000-P-20260720
2026-07-20,ES,20260821,6050,Call,69.25,70.25,69.75,6093,25809,0.1142,0.84,ES,CME,snap-20260720-es,ES-20260821-6050-C-20260720
2026-07-20,ES,2026-08-21,6050,P,222.25,225,223.5,9721,52502,0.1136,-0.16,ES,CME,snap-20260720-es,ES-20260821-6050-P-20260720
2026-07-20,es,08/21/26,6100,C,70,71,70.50,14254,42756,0.12,0.808,ES,CME,snap-20260720-es,ES-20260821-6100-C-20260720
07/20/2026,ES,2026-08-21,6100,P,272.5,276,274.25,17867,87400,0.1146,-0.192,ES,CME,snap-20260720-es,ES-20260821-6100-P-20260720
07/20/2026,ES,08/21/2026,"6,150.00",C,70.75,71.75,71.25,12696,34661,0.1166,0.781,ES,CME,snap-20260720-es,ES-20260821-6150-C-20260720
2026-07-20,ES,2026-08-21,6150,P,322.75,326.75,324.75,9735,27308,0.1155,-0.219,ES,CME,snap-20260720-es,ES-20260821-6150-P-20260720
2026-07-20,ES,08/21/26,6200,C,71.5,72.5,72,4543,19472,0.1177,0.759,ES,CME,snap-20260720-es,ES-20260821-6200-C-20260720
2026-07-20,ES,08/21/2026,6200,P,373,377.75,375.5,9645,49859,0.1165,-0.241,ES,CME,snap-20260720-es,ES-20260821-6200-P-20260720
2026-07-20,ES,2026-08-21,6250,C,72.25,73.25,72.75,5414,17430,0.1189,0.74,ES,CME,snap-20260720-es,ES-20260821-6250-C-20260720
2026-07-20,ES,2026-08-21,6250,P,423.25,428.75,426,6526,29289,0.1175,-0.26,ES,CME,snap-20260720-es,ES-20260821-6250-P-20260720
2026-07-20,ES,08/21/26,6300,C,73,74,73.5,4480,12420,0.1201,0.724,ES,CME,snap-20260720-es,ES-20260821-6300-C-20260720
